,accuracy,timetaken
InSilicoSize50-Ecoli1-null-mutants.tsv,"ACC=0.92 , F1=0.51 , TPR=0.51 , FPR=0.49",416.3712909221649
InSilicoSize50-Ecoli1-nonoise-heterozygous.tsv,,
InSilicoSize50-Ecoli1-nonoise-proteins-heterozygous.tsv,,
InSilicoSize50-Ecoli1-trajectories.tsv,,
InSilicoSize50-Ecoli1-heterozygous.tsv,,
InSilicoSize50-Ecoli2-nonoise-proteins-heterozygous.tsv,,
InSilicoSize50-Ecoli2-nonoise-heterozygous.tsv,,
InSilicoSize50-Ecoli2-heterozygous.tsv,,
InSilicoSize50-Ecoli2-null-mutants.tsv,,
InSilicoSize50-Ecoli2-trajectories.tsv,,
InSilicoSize50-Yeast1-null-mutants.tsv,,
InSilicoSize50-Yeast1-nonoise-heterozygous.tsv,,
InSilicoSize50-Yeast1-heterozygous.tsv,,
InSilicoSize50-Yeast1-nonoise-proteins-heterozygous.tsv,,
InSilicoSize50-Yeast1-trajectories.tsv,,
InSilicoSize50-Yeast2-nonoise-proteins-heterozygous.tsv,,
InSilicoSize50-Yeast2-null-mutants.tsv,,
InSilicoSize50-Yeast2-nonoise-heterozygous.tsv,,
InSilicoSize50-Yeast2-trajectories.tsv,,
InSilicoSize50-Yeast2-heterozygous.tsv,,
InSilicoSize50-Yeast3-null-mutants.tsv,,
InSilicoSize50-Yeast3-heterozygous.tsv,,
InSilicoSize50-Yeast3-nonoise-heterozygous.tsv,,
InSilicoSize50-Yeast3-nonoise-proteins-heterozygous.tsv,,
InSilicoSize50-Yeast3-trajectories.tsv,,
